[StudentID,TotalNumberOfSemestersRegistered,Semester,NumCoursesTakenInTheSemester
, 100,11,11,6
, 101,16,1,9
, 101,16,2,9
, 101,16,3,8
, 101,16,4,8
, 101,16,5,1
, 101,16,6,1
, 101,16,7,8
, 101,16,8,8
, 101,16,9,2
, 101,16,10,3
, 101,16,11,8
, 101,16,12,7
, 101,16,13,2
, 101,16,14,1
, 101,16,15,2
, 101,16,16,1
, 102,11,1,10
, 102,11,2,10
, 102,11,3,10
, 102,11,4,8
, 102,11,5,9
, 102,11,6,9
, 102,11,7,6
, 102,11,8,7
, 102,11,9,7
, 102,11,10,1
, 102,11,11,5
, 103,14,1,11
, 103,14,2,11
, 103,14,3,8
, 103,14,4,3
, 103,14,5,1
, 103,14,6,10
, 103,14,7,10
, 103,14,8,1
, 103,14,9,8
, 103,14,10,1
, 103,14,11,6
, 103,14,12,8
, 103,14,13,6
, 103,14,14,1
, 104,12,1,10
, 104,12,2,10
, 104,12,3,1
, 104,12,4,9
, 104,12,5,8
, 104,12,6,8
, 104,12,7,1
, 104,12,8,8
, 104,12,9,2
, 104,12,10,7
, 104,12,11,5
, 104,12,12,2
, 105,8,1,9
, 105,8,2,9
, 105,8,3,8
, 105,8,4,8
, 105,8,5,9
, 105,8,6,8
, 105,8,7,1
, 105,8,8,5
, 106,10,1,9
, 106,10,2,9
, 106,10,3,8
, 106,10,4,8
, 106,10,5,8
, 106,10,6,9
, 106,10,7,1
, 106,10,8,8
, 106,10,9,6
, 106,10,10,1
, 107,10,1,9
, 107,10,2,9
, 107,10,3,9
, 107,10,4,9
, 107,10,5,9
, 107,10,6,1
, 107,10,7,9
, 107,10,8,7
, 107,10,9,1
, 107,10,10,6
, 108,11,1,10
, 108,11,2,9
, 108,11,3,8
, 108,11,4,9
, 108,11,5,9
, 108,11,6,9
, 108,11,7,1
, 108,11,8,7
, 108,11,9,7
, 108,11,10,1
, 108,11,11,4
, 109,9,1,12
, 109,9,2,11
, 109,9,3,10
, 109,9,4,9
, 109,9,5,9
, 109,9,6,7
, 109,9,7,6
, 109,9,8,5
, 109,9,9,3
, 110,7,1,9
, 110,7,2,10
, 110,7,3,8
, 110,7,4,8
, 110,7,5,4
, 110,7,6,3
, 110,7,7,1
, 111,12,1,10
, 111,12,2,9
, 111,12,3,2
, 111,12,4,9
, 111,12,5,8
, 111,12,6,7
, 111,12,7,8
, 111,12,8,1
, 111,12,9,6
, 111,12,10,2
, 111,12,11,7
, 111,12,12,1
, 112,11,1,11
, 112,11,2,12
, 112,11,3,10
, 112,11,4,9
, 112,11,5,7
, 112,11,6,1
, 112,11,7,9
, 112,11,8,1
, 112,11,9,6
, 112,11,10,7
, 112,11,11,7
, 113,9,1,10
, 113,9,2,10
, 113,9,3,9
, 113,9,4,9
, 113,9,5,8
, 113,9,6,8
, 113,9,7,6
, 113,9,8,5
, 113,9,9,1
, 114,11,1,10
, 114,11,2,9
, 114,11,3,8
, 114,11,4,8
, 114,11,5,9
, 114,11,6,1
, 114,11,7,9
, 114,11,8,7
, 114,11,9,6
, 114,11,10,7
, 114,11,11,4
, 115,10,1,9
, 115,10,2,10
, 115,10,3,9
, 115,10,4,8
, 115,10,5,1
, 115,10,6,10
, 115,10,7,8
, 115,10,8,7
, 115,10,9,5
, 115,10,10,1
, 116,12,1,12
, 116,12,2,10
, 116,12,3,2
, 116,12,4,9
, 116,12,5,7
